ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена
1002042,2607833,9785699973705,Емец Д.,12+,2017,0,Эксмо,416,Лед и пламя Тартара,,,Суворова Т.,0,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,4000,21.8 x 14.5 x 2.5,,342
1004167,2608544,9785171053802,Фрай М.,18+,2017,4,АСТ,288,Новая чайная книга,,,,5,Миры Макса Фрая,Твердая бумажная,7000,20.6 x 13.2 x 2.3,,332
1004240,2608971,9785001111900,Хантер Э.,6+,2017,1,Абрис,350,Расколотый прайд,,Голосовская А.Ю.,,5,Земля Отважных,Твердая бумажная,7000,20.6 x 13 x 1.7,Насыров Л.Х.,285
1006687,2611099,9785699973712,Емец Д.,12+,2017,0,Эксмо,416,Первый эйдос,,,,0,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,4000,21.2 x 13.5 x 2.3,,342
1007486,2611890,9785179827924,Фрай М.,16+,2017,14,АСТ,416,Отдай мое сердце,,,Кравченко Е.,4,Сновидения Ехо,Твердая бумажная,27000,20.7 x 13.3 x 2,,423
1008090,2612352,9785001111733,Хантер Э.,6+,2017,3,Абрис,350,Нерассказанные истории. Ярость когтя,,Вероника Максимова,,5,Коты-воители,Твердая бумажная,6000,20.7 x 13.2 x 2,,304
1008621,2612809,9785171053819,Фрай М.,18+,2018,7,АСТ,320,Новая кофейная книга,,,,4,Миры Макса Фрая,Твердая бумажная,8000,20.7 x 13.2 x 2.6,,332
1008941,2613113,9785001111528,Хантер Э.,,2017,4,Абрис,,Крутобок & Бич (комплект из 4 книг),,,,5,Коты-воители,,,18.9 x 13 x 2.6,,486
1008942,2613114,9785001110576,Хантер Э.,,2017,2,Абрис,,Звездоцап и Саша (комплект из 3 книг),,,,5,Коты-воители,,,18.9 x 12.7 x 2,,387
1008955,2613127,9785001110651,Хантер Э.,,2017,3,Абрис,,Судьба Горелого (комплект из 3 книг),,,,3,Коты-воители,,,19 x 12.6 x 2.1,,387
1008956,2613128,9785001111443,Хантер Э.,,2017,2,Абрис,,Небесное племя и незнакомец (комплект из 3 книг),,,,5,Коты-воители,,,19 x 12.8 x 2.3,,387
1009680,2613706,9785170867226,Фрай М.,16+,2017,10,АСТ,752,Чужак. Репринтное издание,,,Кравченко Е.,4,Ехо в подарок,Твердая бумажная,3000,24 x 17 x 5.3,,1017
1012908,2615724,9785179829676,Фрай М.,16+,2017,5,АСТ,1040,Сновидения Ехо: Мастер ветров и закатов. Слишком много кошмаров. Вся правда о нас. Я иду искать. Сундук мертвеца,,,,5,,Твердая бумажная,3000,26.2 x 20 x 5.5,,1252
1013465,2616266,9785001111924,Хантер Э.,,2018,1,Олма Медиагрупп,447,Полночь. Восход луны,,Максимова В.А.,,5,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.5 x 17 x 2.5,,609
1013561,2616369,9785699973729,Емец Д.,12+,2017,1,Эксмо,416,Светлые крылья для темного стража,,,"Лутикова И., Остроумова Е.",5,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,3000,22 x 14.4 x 2.5,,327
1017577,2620462,9785171060824,Фрай М.,18+,2018,1,АСТ,288,"Небеsное, zлодея",,,,5,Миры Макса Фрая,Твердая бумажная,8000,20.5 x 13 x 1.8,,332
1018853,2621798,9785001112822,Хантер Э.,6+,2018,2,Абрис,318,Скрытая угроза,,Максимова Вероника,,4,Хроники Стаи,Твердая бумажная,5000,20.5 x 13 x 1.5,Егоров Сергей,304
1021715,2624233,9785171060848,Фрай М.,16+,2018,0,АСТ,352,Ворона на мосту,,,Кравченко Е.,0,Эксклюзивная новая классика,Мягкая бумажная,3000,18 x 11.5 x 2.7,,170
1026358,2628444,9785001112983,Хантер Э.,6+,2018,10,Абрис,382,Коты-воители. Время выбора,,Максимова Вероника,,5,Коты-воители,Твердая бумажная,7000,20.5 x 13 x 1.8,Насыров Леонид,304
1027390,2629406,9785699973750,Емец Д.,16+,2018,0,Эксмо,432,Лестница в Эдем,,,,0,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,3000,21.9 x 14.2 x 2.7,,327
1034160,2635767,9785001111771,Хантер Э.,6+,2018,1,Абрис,479,Миссия Огнезвезда,,"Максимова В.А, Савельева Е.А, Насырова Л.Х.",,5,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.5 x 17 x 2.3,,565
1034642,2636309,9785699973767,Емец Д.,12+,2018,1,Эксмо,400,Карта хаоса,,,,5,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,3000,21.8 x 14.4 x 2.4,,327
1040796,2641476,9785001113157,Хантер Э.,6+,2018,4,Абрис,382,Коты-воители. Звездная тропа,,Максимова Вероника,,3,Коты-воители,Твердая бумажная,7000,20.6 x 13.2 x 2,Насыров Леонид,304
1044041,2644279,9785699973774,Емец Д.,12+,2018,1,Эксмо,416,Ожерелье дриады,,,,5,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,2500,21.9 x 14.5 x 2.4,,327
1044489,2645102,9785001113171,Хантер Э.,,2018,0,Абрис,384,Закон чести,,Голосовская А.Ю.,,0,Земля Отважных,Твердая бумажная,4500,20.7 x 13.4 x 1.9,Насырова Л.Х.,285
1051063,2652192,9785171089337,Фрай М.,16+,2018,3,АСТ,352,Сказки старого Вильнюса VII,,,,5,,Суперобложка,7000,20.7 x 13.3 x 2.1,,356
1051385,2652506,9785001113584,Хантер Э.,6+,2018,2,Абрис,320,Сны и видения Бабочки. Беглянка,,Максимова Вероника,,5,Коты-воители,Твердая бумажная,7000,20.7 x 13.1 x 1.7,,304
1051386,2652507,9785001112976,Хантер Э.,6+,2018,0,Абрис,448,Пророчество Синей Звезды,,Максимова В.А.,,0,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.7 x 17.1 x 2.3,Насыров Л.Х.,565
1056132,2656647,9785001113515,Хантер Э.,6+,2018,4,Абрис,464,Рассвет. Звездный свет,,Максимова В.А.,,4,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.6 x 17.1 x 2.5,"Савельева Е.А., Насырова Л.Х.",609
1059067,2659373,9785001113454,Хантер Э.,,2018,1,Абрис,318,Долгая ночь,,Павлова И.,,5,Хроники Стаи,Твердая бумажная,5000,20.5 x 13.2 x 1.7,Егоров С.,304
1059170,2659485,9785171089733,Фрай М.,16+,2018,20,АСТ,448,Мертвый ноль,,,,4,Сновидения Ехо,Твердая бумажная,30000,20.5 x 13 x 2.5,,375
1062116,2662062,9785699973781,Емец Д.,12+,2018,0,Эксмо,416,Стеклянный страж,,,,0,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,2000,21.8 x 14.2 x 2.4,,327
1064110,2664251,9785040916658,Емец Д.,6+,2018,1,Эксмо,272,Золото скифов,,,,5,,Твердая бумажная,5000,21.8 x 14.7 x 1.8,,285
1066041,2665312,9785001113539,Хантер Э.,6+,2018,3,Абрис,320,Сны и видения Бабочки. Целительница,,Максимова Вероника,,5,Коты-воители,Твердая бумажная,7000,20.7 x 13 x 1.8,Насыров Леонид,304
1068930,2667992,9785171095802,Фрай М.,18+,2018,0,АСТ,768,Все сказки старого Вильнюса. Начало,,,,0,Макс Фрай: подарочное издание,Твердая бумажная,3000,24 x 17 x 5,,1017
1077060,2678300,9785040899456,Емец Д.,12+,2018,0,Эксмо,432,Танец меча,,,,0,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,2000,21.8 x 14.4 x 2.3,,342
1077461,2677963,9785001115052,Хантер Э.,6+,2018,3,Абрис Олма,382,Нерассказанные истории. Месть Кленовницы,,Максимова В.,,5,Коты-воители,Твердая бумажная,7000,20.6 x 13 x 2,Насыров Л.,302
1077741,2679748,9785001114178,Хантер Э.,6+,2018,1,Абрис Олма,447,Сумерки. Закат,,Максимова В.А.,,5,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.6 x 17.1 x 2.6,"Савельева Е.А., Насырова Л.Х.",585
1085970,2689500,9785171121945,Фрай М.,,2018,1,АСТ,352,Тяжелый свет Куртейна. Синий,,,,5,Другая сторона,,,,,374
1086610,2688299,9785001115090,Хантер Э.,6+,2019,0,Абрис,447,Тайна Щербатой,,Максимова В.А.,,0,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.5 x 17 x 2.4,Насыров Л.Х.,609
244296,1400705,9785367009781,Фрай М.,,2009,0,"Амфора, ООО",478,"Книга для таких, как я",,,,0,ФРАМ,Твердая бумажная,4000,20.5 x 13.2 x 3,,
245728,1665067,9785942783372,Фрай М.,,2010,0,"Амфора, ООО",606,Волонтеры вечности,,,,0,,Твердая бумажная,3000,20.7 x 13.8 x 3.8,,
246061,1668112,9785699110018,Емец Д.,,2003,0,Эксмо-Пресс,384,Таня Гроттер и Золотая Пиявка,,,,0,Таня Гроттер,Твердая бумажная,,20.6 x 13.5 x 2.3,,
246246,1801350,5942783535,Фрай М.,,2003,0,"Амфора, ООО",350,Простые волшебные вещи,,,,0,Лабиринты Эхо,Твердая бумажная,,20.8 x 13.7 x 2.3,,
246247,1801351,9785367016239,Фрай М.,,2009,0,"Амфора, ООО",367,Темная сторона,,,,0,Лабиринты Ехо,Твердая бумажная,3000,20.6 x 13.5 x 2.3,,
246533,1804075,9785942783600,Фрай М.,12+,2013,0,"Амфора, ООО",639,Чужак,,,,0,Лабиринты Ехо,Твердая бумажная,3000,20.7 x 13.6 x 4.1,,
246749,1806167,9785942783877,Фрай М.,12+,2013,0,"Амфора, ООО",590,Болтливый мертвец,,,Стукалина Марина,0,Лабиринты Эхо,Твердая бумажная,2000,20.7 x 13.8 x 3.9,,367
246913,1807965,9785367003390,Фрай М.,,2003,0,"Амфора, ООО",350,Власть несбывшегося,,,,0,,Твердая бумажная,,20.6 x 13.6 x 2.3,,322
246914,1807966,9785942783884,Фрай М.,12+,2009,0,"Амфора, ООО",383,Наваждения,,,,0,Лабиринты Ехо,Твердая бумажная,5000,20.6 x 13.7 x 2.5,,427
247198,1810879,9785367004069,Фрай М.,,2003,0,"Амфора, ООО",557,Гнезда Химер Хроники Овётганны,,,,0,,Твердая бумажная,,20.7 x 13.8 x 3.4,,
247199,1810880,9785942782429,Фрай М.,,2006,0,"Амфора, ООО",559,Гнезда Химер Хроники Хугайды,,,,0,Лабиринты Ехо,Твердая бумажная,5000,20.6 x 13.7 x 3.5,,
247200,1810881,9785367003406,Фрай М.,,2009,0,"Амфора, ООО",398,Лабиринт Менина,,,,0,Лабиринты Ехо,Твердая бумажная,3000,20.6 x 13.5 x 2.5,,
247406,1813266,9785942784362,Фрай М.,,2003,0,"Амфора, ООО",423/415,Мой Рагнарек,,,,0,,Твердая бумажная,,20.7 x 13.5 x 2.5,,427
248191,1881356,9785699102396,Емец Д.,,2003,0,Эксмо-Пресс,432,Таня Гроттер и молот Перуна,,,,0,Таня Гроттер,Твердая бумажная,,20.7 x 13.3 x 2.2,,
248397,1884701,5699038590,Емец Д.,,2003,0,Эксмо-Пресс,320,Пират против всей галактики,,,,0,От создателя Тани Гроттер,Твердая глянцевая,,,,
248903,1890629,9785367011777,Фрай М.,,2009,0,"Амфора, ООО",446,Жалобная книга Фрай,,,Жаворонок Светлана,0,,Твердая бумажная,,20.6 x 13.5 x 2.8,,
249381,1895169,9785699104062,Емец Д.,,2003,0,Эксмо-Пресс,416,Таня Гроттер и пенсне Ноя,,,,0,Таня Гроттер,Твердая бумажная,,20.7 x 13.5 x 2.5,,
249852,1898410,9785373002325,Хантер Э.,,2004,0,Олма-Пресс,318,Лес секретов,,,,0,Коты-воители,Твердая бумажная,,20.7 x 13.6 x 1.7,,
253163,2288153,9785699510672,Емец Д.,,2011,0,Эксмо,144,Дракончик Пыхалка Приключения начинаются,,,Кузнецова Т.,0,,Твердая бумажная,,25 x 23 x 1,Тимофеева Виктория,
253620,2289106,9785981245497,Фрай М.,,2011,0,Добрая книга,160,Искусство цифровой пейзажной фотографии,,,,0,,Мягкая бумажная,,21 x 23.5 x 1.5,,958
256186,2293081,9785367020984,Фрай М.,,2011,0,"Амфора, ООО",606,Волонтеры вечности,,,Стукалина Марина,0,лабиринты ехо,Твердая глянцевая,,20.5 x 13.5 x 4,,367
257088,2295393,9785699524914,Емец Д.,,2011,0,Эксмо,352,Мутантики,,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,20.5 x 13 x 2.5,,
257819,2296353,9785699534562,Емец Д.,,2011,1,Эксмо,416,Мефодий Буслаев Огненные врата,,,Суворова Т.,5,Мефодий Буслаев,Твердая глянцевая,,20.5 x 13 x 3,,303
259037,2297888,9785367021240,Фрай М.,,2011,0,"Амфора, ООО",350,Простые волшебные вещи,,,Стукалина Марина,0,Лабиринты Ехо,Твердая глянцевая,,20.5 x 17.4 x 2.5,,362
259044,2297895,9785699462452,Емец Д.,,2011,0,Эксмо,224,Дракончик Пыхалка и Великий Мымрик,,,Суворова Т.,0,,Твердая бумажная,,26 x 20.5 x 1.5,Тимофеева В.,
259639,2298695,9785699529049,Емец Д.,,2011,0,Эксмо,352,Королева мутантиков,,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,21.7 x 15 x 4.3,,175
259751,2298896,9785367020908,Фрай М.,,2012,0,"Амфора, ООО",415,Дар Шаванахолы История рассказанная сэром Максом из Ехо,,,Суворова Елена,0,Хроники Ехо,Твердая бумажная,,20.6 x 13.5 x 2.6,,392
259790,2298982,9785367021271,Фрай М.,,2012,0,"Амфора, ООО",383,Темная сторона,,,Стукалина Марина,0,Лабиринты Ехо,Твердая глянцевая,,21 x 13.5 x 2.6,,427
261761,2302338,9785699542413,Емец Д.,,2012,0,Эксмо,320,Тайна Звездного странника,,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,20.5 x 12.8 x 1.9,,
263775,2305356,9785699551002,Емец Д.,,2012,0,Эксмо,320,Сердце пирата,,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,20.5 x 13.2 x 2.1,,
264885,2306932,9785699548484,Емец Д.,,2012,0,Эксмо,280,Дракончик Пыхалка,,,Суворова Т.,0,,Твердая бумажная,,26 x 20.5 x 1.8,Тимофеева Виктория,
265967,2308403,9785699556502,Емец Д.,,2012,0,Эксмо,352,Гладиатор забытых созвездий,,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,,20.5 x 13 x 1.8,,
266507,2309102,9785367021738,Фрай М.,,2012,0,"Амфора, ООО",308,Первая линия,,,Суворова Елена,0,,Твердая бумажная,,20.5 x 13 x 1.8,,
266508,2309103,9785367021752,Фрай М.,,2012,0,"Амфора, ООО",351,Вторая линия,,,Суворова Елена,0,,Твердая бумажная,,20.5 x 13 x 2,,
267161,2310019,9785699551330,Емец Д.,,2012,2,Эксмо,384,Таня Гроттер и птица титанов,,,Суворова Т.,5,Таня Гроттер,Твердая бумажная,30100,20.5 x 13 x 2.5,,
267275,2310169,9785699553211,Емец Д.,,2012,0,Эксмо,192,Дракончик Пыхалка. Приключения в Сказочной стране,,,Суворова Т.,0,,Твердая бумажная,6000,24.5 x 22.5 x 1.4,Тимофеева Виктория,
268263,2311993,9785367022209,Фрай М.,,2012,0,"Амфора, ООО",384,Сказки старого Вильнюса. Том 1,,,Суворова Елена,0,,Твердая бумажная,11052,22 x 14 x 2.5,,
268288,2312033,9785699559336,Емец Д.,,2012,0,Эксмо,320,Пират против всей галактики,,,Суворова Т.,0,Фантастические приключения,Твердая глянцевая,3000,20.6 x 13.4 x 2,,
268487,2312310,9785699551309,Емец Д.,,2012,0,Эксмо,280,Приключения домовят,,,Суворова Т.,0,,Твердая бумажная,4000,26.5 x 20.5 x 2.5,Тимофеева В.,
268960,2312946,9785699551286,Емец Д.,,2012,0,Эксмо,432,Таня Гроттер и молот Перуна,,,Суворова Т.,0,Таня Гроттер,Твердая бумажная,3100,20.7 x 13 x 3,,
268961,2312947,9785699551255,Емец Д.,,2012,0,Эксмо,416,Таня Гроттер и посох волхвов,,,Суворова Т.,0,Таня Гроттер,Твердая бумажная,3100,20.7 x 13 x 3,,
270846,2024870,9785699082346,Емец Д.,,2004,2,Эксмо,416,Мефодий Буслаев Маг полуночи,,,,5,Мефодий Буслаев,Твердая глянцевая,,20.5 x 13.2 x 3.2,,
270861,2024932,9785367008876,Фрай М.,,2009,0,"Амфора, ООО",382,Сказки и истории,,,,0,ФРАМ,Твердая бумажная,,20.5 x 13.3 x 2.2,,
271107,2026259,9785367013283,Фрай М.,12+,2014,1,"Амфора, ООО",414,Энциклопедия мифов т.1,,,,5,ФРАМ,Твердая бумажная,,20.5 x 13 x 2.5,,499
271108,2026260,9785942785901,Фрай М.,12+,2014,1,"Амфора, ООО",336,Энциклопедия мифов т.2,,,,5,ФРАМ,Твердая бумажная,3000,20.7 x 13.5 x 2.4,,475
271127,2026387,5699069623,Емец Д.,,2004,0,Эксмо,352,Мутантики,,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,
271602,2029407,569907581x,Емец Д.,,2004,0,Эксмо,352,Королева мутантиков,,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,
272217,2033116,5699076603,Емец Д.,,2004,0,Эксмо,384,Заступники земли Русской,,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,
272859,2036407,9785942786953,Фрай М.,,2012,0,"Амфора, ООО",383,Хроники Ехо Чуб Земли,,,,0,Хроники Ехо,Твердая бумажная,3000,20.7 x 13.6 x 2.3,,362
274059,2041889,9785699101986,Емец Д.,12+,2005,0,Эксмо,416,Мефодий Буслаев Свиток желаний,,,,0,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.2 x 2.5,,
274241,2042702,5699076816,Емец Д.,,2005,0,Эксмо,320,Черная-черная простыня,,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,
274315,2042986,5699100504,Емец Д.,,2005,0,Эксмо,320,НЛО прибывает по расписанию,,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,
274326,2043039,9785373010276,Хантер Э.,,2005,0,Олма-Пресс,348,Новое пророчество Кн.1 Полночь,,,,0,Коты-воители,Твердая бумажная,,20.7 x 13.7 x 1.9,,
274724,2044859,9785367004960,Фрай М.,,2005,0,"Амфора, ООО",350,Простые волшебные вещи,,,,0,Лабиринты Ехо,Твердая бумажная,,20.7 x 13.4 x 2.3,,
274979,2045969,9785367021561,Фрай М.,,2009,0,"Амфора, ООО",316,Хроники Ехо 2 Властелин Морморы,,,,0,,Твердая бумажная,,20.7 x 13.4 x 2.1,,427
275093,2046556,9785373010337,Хантер Э.,,2005,0,Олма-Пресс,352,Новое пророчество Кн.2 Восход луны,,,,0,Коты-воители,Твердая бумажная,,,,
275812,2049818,9785699119035,Емец Д.,,2005,0,Эксмо,432,Таня Гроттер и локон Афродиты,,,,0,,Твердая бумажная,,20.8 x 13.4 x 2.5,,
278015,2058586,9785373002332,Хантер Э.,,2005,0,Олма-Пресс,384,Новое пророчество Кн.3 Рассвет,,,,0,Коты-воители,Твердая бумажная,,,,
278353,2060122,9785699136216,Емец Д.,12+,2005,0,Эксмо,416,Мефодий Буслаев Третий всадник мрака,,,Рубис О.,0,Мефодий Буслаев,Твердая глянцевая,,20.9 x 13.5 x 2.4,,
280147,2066840,5699134409,Емец Д.,,2005,0,Эксмо,304,Пришельцы из холодильника,,,,0,Любимые книги Тани Гроттер,Твердая глянцевая,,,,
280462,2067995,9785367021622,Фрай М.,,2013,0,"Амфора, ООО",318,Неуловимый Хабба Хэн,,,,0,Хроники Ехо,Твердая бумажная,,20.9 x 13.6 x 2,,427
282313,2074494,9785699145522,Емец Д.,,2006,0,Эксмо,416,Мефодий Буслаев Билет на Лысую гору,,,,0,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.3 x 2.9,,
284263,2081203,9785699161546,Емец Д.,,2006,0,Эксмо,416,Мефодий Буслаев Месть валькирий,,,Рубис О.,0,Мефодий Буслаев,Твердая глянцевая,,20.8 x 13.5 x 2.7,,284
286345,2087495,9785699272334,Емец Д.,,2006,0,Эксмо,416,Таня Гроттер и перстень с жемчужиной,,,,0,Таня Гроттер,Твердая бумажная,,20.8 x 13.5 x 3,,
287737,2091737,9785373005579,Хантер Э.,,2006,0,Олма-Пресс,319,Сумерки,,,,0,Коты-воители,Твердая бумажная,,,,
289861,2097728,9785699185924,Емец Д.,,2006,0,Эксмо,416,Мефодий Буслаев Тайная магия Депресняка,,,,0,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.5 x 2.7,,
291153,2105433,9785367021615,Фрай М.,,2006,0,"Амфора, ООО",334,Хроники Ехо 4 Ворона на мосту…,,,,0,Хроники Ехо,Твердая бумажная,,20.7 x 13.5 x 2.2,,441
291593,2110293,9785699201693,Емец Д.,,2007,0,Эксмо,416,Мефодий Буслаев Лед и пламя Тартара,,,Рубис О.,0,Мефодий Буслаев,Твердая глянцевая,,20.6 x 13.2 x 2.6,,303
292170,2120508,9785367004373,Фрай М.,,2007,0,"Амфора, ООО",479,Русские инородные сказки 5 Антология,,,,0,ФРАМ,Твердая бумажная,,20.7 x 13.6 x 3,,
292318,2122703,9785699219230,Емец Д.,,2007,0,Эксмо,416,Таня Гроттер и проклятие некромага,,,,0,Таня Гроттер,Твердая бумажная,,20.7 x 13.1 x 2.8,,
292872,2132505,9785699232987,Емец Д.,,2007,0,Эксмо,416,Мефодий Буслаев Первый эйдос,,,Рубис О.,0,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.3 x 2.5,,
293201,2139299,9785699246212,Емец Д.,,2007,1,Эксмо,416,Мефодий Буслаев Светлые крылья для темного стража,,,Рубис О.,5,Мефодий Буслаев,Твердая глянцевая,,20.7 x 13.4 x 3,,303
